flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
54,13,0,0,54-13-0-0,808.049,367.154,132.645,1488.986,1.811,1.281,35343,18702,1
54,20,0,0,54-20-0-0,40.676,14.23,13.766,67.513,0.069,0.049,38802,20668,1
54,25,0,0,54-25-0-0,25.945,11.527,7.28,47.749,0.092,0.084,20357,21459,1
55,14,0,0,55-14-0-0,391.832,227.641,0.058,774.587,1.171,0.828,29484,16159,1
55,21,0,0,55-21-0-0,21.408,17.087,0.001,52.159,0.084,0.059,30596,19904,1
56,18,0,0,56-18-0-0,52.81,32.1,2.633,110.066,0.153,0.108,32509,20707,1
58,18,0,0,58-18-0-0,5080.511,857.045,3490.868,6698.564,4.632,3.275,33965,29322,1
59,24,0,0,59-24-0-0,684.852,64.81,561.988,805.568,0.233,0.165,77299,31982,1
59,26,0,0,59-26-0-0,147.764,87.976,12.384,307.373,0.636,0.483,19128,22693,1
60,23,0,0,60-23-0-0,312.685,269.966,0.016,807.744,1.319,0.933,33967,24549,1
61,18,0,0,61-18-0-0,925.918,339.379,338.76,1581.683,1.75,1.237,35276,28565,1
,,,,,2318.719,230.541,1886.323,2756.241,0.833,0.593,76535,34523,1
,,,,,7291.701,679.815,6015.952,8570.029,3.241,2.292,43928,30280,1
,,,,,11615.908,1029.034,9720.803,13583.268,5.421,3.833,35973,31362,1
,,,,,34914.246,3177.817,29024.745,40940.97,20.164,14.258,24759,26399,1
,,,,,584.155,56.731,479.773,692.112,0.211,0.15,71960,31477,1
,,,,,2061.561,201.783,1674.933,2435.218,0.858,0.606,55344,33316,1
,,,,,3085.843,296.842,2524.94,3641.478,1.428,1.01,43222,31874,1
,,,,,7264.272,671.864,5983.511,8514.575,3.19,2.256,44230,32902,1
,,,,,684.852,64.81,561.988,805.568,0.233,0.165,77299,31982,1
,,,,,538.05,52.759,438.585,636.532,0.2,0.141,69735,34280,1
,,,,,336.399,32.305,275.358,396.238,0.126,0.089,65469,38714,1
,,,,,128.877,12.384,105.339,151.952,0.052,0.037,55870,33048,1
,,,,,-17.033,298.846,-583.151,534.727,1.339,1.385,49828,35046,1
,,,,,1.762,299.083,-545.112,579.171,1.369,1.291,47748,38120,1
,,,,,-37.009,299.491,-614.028,514.155,1.401,1.14,45706,40855,1
,,,,,-15.417,298.54,-580.33,536.782,1.265,1.465,55639,33000,1
,,,,,-7.847,296.666,-572.232,544.964,1.303,1.415,51876,28662,1
,,,,,-171.37,174.644,-499.532,116.614,0.803,0.568,37791,32677,1
,,,,,-153.316,180.887,-494.121,144.369,0.871,0.616,35575,31194,1
,,,,,173.085,261.763,-329.088,650.183,1.225,1.181,45259,34413,1
,,,,,-127.33,93.089,-295.212,8.336,0.437,0.309,33485,21397,1
,,,,,204.521,266.859,-291.38,708.255,1.244,1.246,45757,30104,1
,,,,,417.831,246.036,-35.988,885.678,1.016,0.718,58361,27832,1
,,,,,-19.053,295.89,-584.934,523.29,1.362,1.11,47201,42814,1
,,,,,2.567,300.485,-544.896,591.126,1.378,1.258,47559,38517,1
,,,,,-29.05,299.343,-594.643,525.872,1.371,1.181,47675,41117,1
,,,,,-78.676,260.84,-580.615,398.6,1.174,0.912,48052,40514,1
,,,,,2.699,300.74,-569.08,557.024,1.373,1.116,48000,43366,1
,,,,,202.591,297.175,-358.043,755.996,1.343,1.111,48930,36239,1
,,,,,-143.357,181.133,-492.761,195.465,0.816,0.616,49431,40279,1
,,,,,-31.85,297.034,-597.84,524.9,1.355,1.155,48029,41690,1
,,,,,2.778,299.142,-552.235,572.603,1.37,1.187,47658,42063,1
,,,,,-14.26,299.28,-595.316,532.034,1.395,1.111,46049,42614,1
,,,,,-173.295,277.569,-692.377,353.201,1.252,0.989,49085,44522,1
,,,,,136.954,296.777,-403.464,711.859,1.375,1.193,46554,36860,1
,,,,,-77.427,296.573,-643.787,473.365,1.347,1.097,48435,43499,1
,,,,,159.203,284.844,-376.383,697.366,1.262,1.065,50981,35543,1
,,,,,0.171,300.417,-569.936,556.846,1.358,1.071,48957,44699,1
,,,,,5.922,298.409,-547.111,573.234,1.353,1.215,48631,39645,1
,,,,,7.33,297.885,-541.63,580.106,1.391,1.153,45851,40926,1
,,,,,22.809,298.114,-540.51,578.231,1.376,1.147,46932,43180,1
,,,,,27.403,298.278,-533.02,585.025,1.365,1.305,47721,37891,1
,,,,,10.135,297.877,-550.593,567.056,1.196,1.219,62053,41478,1
,,,,,-39.792,299.89,-597.144,530.325,1.362,1.198,48472,39992,1
